rank,hover,alpha,size,ctrl,num_props,quad_flag,distance
1,ST,14.344535184795737,0.15258408529774162,1196.82480464502,8,0,inf
1,ST,13.436869815694497,0.06946051355584139,14025.067849622457,6,0,0.32120254187955266
1,ST,13.001150142020746,0.05857615526206484,19274.69704682223,6,0,0.20841030248606476
1,ST,12.064225646216407,0.04251555719653076,52779.68951761659,5,0,0.008971701107829841
1,ST,12.226155386927669,0.04106497673175764,50369.74746124398,5,0,0.008672332069394148
1,ST,12.634820942612771,0.044147601543534094,42626.32478756517,5,0,0.009917286064612929
1,ST,13.1289328141927,0.05959120736611281,18150.707407610924,6,0,0.0455859226090603
1,ST,13.248734333931552,0.06981345767918186,15598.662349938424,6,0,0.7147060794078576
1,ST,13.104969064837537,0.060431140182492,18617.242406787915,6,0,0.06907231923244685
1,ST,12.617961506037194,0.04361448720842047,45260.34925610106,5,0,0.008250909136700128
1,ST,12.625485591875032,0.0437995427736101,44943.32740769877,5,0,0.00986072349923119
1,ST,12.278759608997623,0.04152744015820813,50558.6861300603,5,0,0.004944311916766627
1,ST,11.60961251897745,0.027410182104549097,119448.61244580329,4,0,0.034537619443197484
1,ST,12.772502653393138,0.04650657440041033,41745.9444586621,5,0,0.10978945250291577
1,ST,12.527440826495342,0.04142531481030034,46290.63446397474,5,0,0.012812789051065464
1,ST,12.410893245359455,0.042097604845028155,47003.83985255681,5,0,0.0028592710641966914
1,ST,12.399884513273667,0.04203974869775068,47384.27930766972,5,0,0.005927537057166293
1,ST,12.411411008403563,0.04205287821221724,46867.72733315358,5,0,0.0035874735721487016
1,ST,11.74451826843799,0.028178504078413515,107504.28403391017,4,0,0.04284706319583666
1,ST,11.531087041754377,0.02715421684617829,122111.46354667847,4,0,0.005860548204972364
1,ST,10.636126702640224,0.026300704253837383,135013.63440750464,4,0,0.20108336565256002
1,ST,11.706509263067568,0.027647531665448907,111835.96593775915,4,0,0.031416973343359175
1,ST,9.906030694559066,0.025764819865849702,123655.25244433961,4,0,0.18585067954310172
1,ST,9.09464640029605,0.025462745538094664,105242.86042800189,4,0,inf
1,ST,13.075083907528667,0.058412124855265875,18112.024160429697,6,0,0.13295243576232377
1,ST,13.345659287021622,0.06604712378267998,15377.897283606895,6,0,0.11810730017803296
1,ST,11.711206853763661,0.027767099726429857,117863.34728919744,4,0,0.019017335607214397
1,ST,12.443799314325139,0.042229607059271895,46545.35403692554,5,0,0.021484990608962463
1,ST,11.725635757276004,0.028180925997930324,116079.20938743842,4,0,0.028487162776803684
1,ST,12.328191542023816,0.04108159771720361,50500.77288515318,5,0,0.009533546824298111
1,ST,11.194845649152894,0.026538351533615175,129154.47922368969,4,0,0.03130171354182407
1,ST,12.72501828502844,0.04501412874074771,43097.40401412437,5,0,0.024822504181050295
1,ST,11.097185201286257,0.02635016103110481,128872.08453500057,4,0,0.02947626831185126
1,ST,11.68268728393246,0.027422138402245035,117649.66281236931,4,0,0.013394468690130031
1,ST,10.908975287013105,0.026396955406750598,141175.82567351536,4,0,inf
1,ST,11.752943146465745,0.02840459431275192,110483.38623415401,4,0,0.16266569673480402
